,ECLO
375,8
376,6
377,3
378,3
379,5
380,8
381,6
382,3
383,4
384,6
385,4
386,5
387,3
388,6
389,3
390,6
391,4
392,3
393,3
394,3
395,3
396,1
397,9
398,9
399,6
400,3
401,6
402,3
403,8
404,3
405,3
406,5
407,9
408,3
409,6
410,3
411,5
412,3
413,3
414,3
415,3
416,3
417,1
418,3
419,6
420,6
421,3
422,3
423,3
424,6
425,3
426,6
427,3
428,9
429,3
430,3
431,5
432,3
433,3
434,1
435,3
436,5
437,3
438,6
439,3
440,3
441,3
442,3
443,15
444,3
445,13
446,3
447,3
448,3
449,3
450,3
451,5
452,3
453,6
454,3
455,5
456,15
457,3
458,8
459,3
460,3
461,8
462,3
463,9
464,3
465,3
466,1
467,5
468,3
469,3
470,5
471,3
472,5
473,5
474,5
475,1
476,5
477,6
478,3
479,3
480,3
481,3
482,5
483,3
484,3
485,3
486,3
487,3
488,3
489,3
490,22
491,6
492,3
493,5
494,5
495,8
496,1
497,3
498,3
499,5
500,5
501,3
502,3
503,3
504,3
505,4
506,5
507,3
508,10
509,3
510,5
511,9
512,11
513,9
514,3
515,3
516,6
517,3
518,3
519,5
520,4
521,5
522,5
523,3
524,6
525,1
526,6
527,3
528,5
529,8
530,1
531,3
532,1
533,6
534,5
535,6
536,8
537,6
538,5
539,6
540,3
541,5
542,3
543,3
544,3
545,6
546,3
547,5
548,3
549,5
550,5
551,3
552,1
553,6
554,3
555,5
556,3
557,3
558,8
559,9
560,3
561,3
562,10
563,3
564,3
565,3
566,3
567,5
568,3
569,9
570,3
571,3
572,5
573,3
574,1
575,3
576,3
577,6
578,3
579,3
580,5
581,3
582,5
583,3
584,5
585,12
586,3
587,6
588,3
589,5
590,5
591,6
592,3
593,5
594,3
595,3
596,3
597,9
598,4
599,3
600,3
601,3
602,3
603,3
604,9
605,3
606,12
607,3
608,3
609,3
610,3
611,3
612,8
613,5
614,13
615,10
616,12
617,3
618,5
619,3
620,5
621,5
622,3
623,3
624,3
625,3
626,3
627,3
628,3
629,3
630,3
631,1
632,3
633,8
634,5
635,15
636,5
637,1
638,3
639,3
640,10
641,3
642,5
643,6
644,4
645,1
646,3
647,12
648,16
649,3
650,3
651,1
652,3
653,3
654,3
655,3
656,3
657,5
658,3
659,3
660,9
661,3
662,3
663,3
664,3
665,3
666,5
667,8
668,3
669,6
670,6
671,6
672,3
673,5
674,10
675,5
676,5
677,5
678,9
679,3
680,6
681,6
682,3
683,1
684,9
685,11
686,3
687,7
688,3
689,3
690,3
691,3
692,3
693,6
694,3
695,5
696,15
697,5
698,3
699,3
700,13
701,5
702,1
703,8
704,6
705,3
706,3
707,5
708,8
709,9
710,10
711,3
712,4
713,5
714,15
715,3
716,3
717,5
718,5
719,5
720,4
721,5
722,3
723,6
724,3
725,3
726,3
727,3
728,3
729,3
730,11
731,3
732,3
733,5
734,3
735,1
736,5
737,3
738,3
739,3
740,3
741,3
742,3
743,3
744,5
745,3
746,3
747,9
748,6
749,3
750,6
751,5
752,3
753,6
754,15
755,3
756,3
757,12
758,3
759,6
760,3
761,1
762,3
763,5
764,3
765,5
766,5
767,3
768,5
769,9
770,21
771,4
772,3
773,6
774,3
775,6
776,6
777,5
778,6
779,6
780,3
781,3
782,5
783,1
784,3
785,3
786,3
787,3
788,5
789,6
790,5
791,6
792,3
793,3
794,3
795,6
796,3
797,3
798,6
799,3
800,3
801,5
802,3
803,3
804,5
805,5
806,6
807,5
808,3
809,3
810,5
811,11
812,9
813,6
814,3
815,1
816,6
817,9
818,1
819,1
820,6
821,5
822,3
823,17
824,7
825,4
826,3
827,6
828,10
829,6
830,3
831,3
832,1
833,3
834,12
835,3
836,3
837,6
838,6
839,6
840,3
841,9
842,3
843,3
844,3
845,3
846,3
847,3
848,3
849,5
850,5
851,3
852,3
853,15
854,3
855,11
856,5
857,4
858,5
859,12
860,10
861,3
862,11
863,3
864,6
865,3
866,5
867,3
868,6
869,3
870,9
871,3
872,1
873,3
874,5
875,1
876,5
877,6
878,3
879,6
880,6
881,11
882,3
883,3
884,3
885,5
886,5
887,3
888,15
889,7
890,3
891,5
892,3
893,3
894,1
895,3
896,5
897,8
898,5
899,5
900,3
901,3
902,3
903,6
904,5
905,5
906,5
907,3
908,3
909,6
910,3
911,6
912,3
913,6
914,3
915,3
916,5
917,2
918,3
919,10
920,3
921,3
922,3
923,3
924,3
925,5
926,5
927,3
928,3
929,3
930,3
931,4
932,3
933,3
934,3
935,3
936,5
937,5
938,3
939,3
940,5
941,5
942,5
943,3
944,2
945,6
946,3
947,5
948,3
949,3
950,11
951,3
952,6
953,9
954,3
955,3
956,5
957,6
958,3
959,3
960,8
961,6
962,3
963,3
964,6
965,3
966,3
967,3
968,10
969,5
970,3
971,5
972,3
973,5
974,7
975,3
976,13
977,3
978,5
979,3
980,5
981,3
982,5
983,3
984,18
985,8
986,6
987,3
988,8
989,9
990,3
991,1
992,1
993,3
994,6
995,3
996,6
997,6
998,5
999,5
1000,3
1001,1
1002,5
1003,5
1004,1
1005,4
1006,5
1007,3
1008,3
1009,3
1010,3
1011,3
1012,17
1013,3
1014,4
1015,3
1016,6
1017,4
1018,1
1019,6
1020,3
1021,1
1022,5
1023,1
1024,5
1025,6
1026,3
1027,6
1028,5
1029,3
1030,3
1031,5
1032,6
1033,6
1034,3
1035,5
1036,12
1037,3
1038,3
1039,1
1040,6
1041,5
1042,1
1043,4
1044,8
1045,8
1046,5
1047,3
1048,3
1049,3
1050,4
1051,5
1052,3
1053,6
1054,3
1055,1
1056,3
1057,3
1058,3
1059,3
1060,3
1061,3
1062,5
1063,7
1064,3
1065,6
1066,8
1067,3
1068,3
1069,3
1070,5
1071,5
1072,6
1073,9
1074,3
1075,1
1076,5
1077,3
1078,3
1079,4
1080,3
1081,5
1082,3
1083,5
1084,5
1085,3
1086,6
1087,6
1088,6
1089,6
1090,3
1091,1
1092,3
1093,5
1094,3
1095,3
1096,3
1097,9
1098,6
1099,10
1100,3
1101,5
1102,3
1103,6
1104,6
1105,2
1106,3
1107,10
1108,3
1109,3
1110,3
1111,3
1112,3
1113,3
1114,1
1115,3
1116,10
1117,9
1118,5
1119,6
1120,5
1121,3
1122,12
1123,3
1124,6
1125,3
1126,3
1127,3
1128,6
1129,6
1130,3
1131,3
1132,3
1133,3
1134,5
1135,3
1136,5
1137,5
1138,9
1139,3
1140,5
1141,3
1142,3
1143,6
1144,17
1145,3
1146,3
1147,5
1148,25
1149,16
1150,11
1151,3
1152,3
1153,13
1154,4
1155,3
1156,5
1157,3
1158,3
1159,6
1160,3
1161,3
1162,3
1163,5
1164,18
1165,5
1166,1
1167,6
1168,6
1169,6
1170,8
1171,3
1172,6
1173,9
1174,8
1175,6
1176,6
1177,3
1178,3
1179,3
1180,3
1181,9
1182,6
1183,3
1184,5
1185,10
1186,3
1187,3
1188,5
1189,1
1190,3
1191,16
1192,3
1193,3
1194,3
1195,16
1196,2
1197,5
1198,12
1199,3
1200,12
1201,6
1202,12
1203,6
1204,8
1205,5
1206,3
1207,6
1208,5
1209,10
1210,6
1211,3
1212,1
1213,1
1214,11
1215,3
1216,6
1217,3
1218,6
1219,3
1220,5
1221,3
1222,14
1223,8
1224,12
1225,11
1226,5
1227,7
1228,6
1229,3
1230,3
1231,3
1232,3
1233,6
1234,3
1235,3
1236,3
1237,3
1238,3
1239,15
1240,3
1241,5
1242,6
1243,3
1244,6
1245,6
1246,3
1247,6
1248,5
1249,8
1250,5
1251,3
1252,3
1253,5
1254,5
1255,5
1256,3
1257,3
1258,5
1259,6
1260,6
1261,3
1262,3
1263,3
1264,3
1265,6
1266,8
1267,3
1268,3
1269,3
1270,3
1271,3
1272,3
1273,3
1274,3
1275,3
1276,1
1277,3
1278,5
1279,1
1280,1
1281,5
1282,6
1283,1
1284,3
1285,6
1286,12
1287,3
1288,1
1289,3
1290,8
1291,1
1292,10
1293,3
1294,3
1295,5
1296,6
1297,3
1298,5
1299,3
1300,3
1301,3
1302,3
1303,3
1304,3
1305,3
1306,3
1307,6
1308,5
1309,3
1310,3
1311,3
1312,3
1313,3
1314,3
1315,1
1316,6
1317,6
1318,5
1319,3
1320,1
1321,6
1322,3
1323,5
1324,3
1325,5
1326,3
1327,3
1328,5
1329,3
1330,3
1331,3
1332,5
1333,3
1334,3
1335,1
1336,4
1337,6
1338,3
1339,3
1340,9
1341,3
1342,3
1343,3
1344,3
1345,3
1346,3
1347,3
1348,5
1349,9
1350,3
1351,18
1352,5
1353,3
1354,3
1355,3
1356,5
1357,5
1358,9
1359,3
1360,1
1361,3
1362,8
1363,3
1364,20
1365,1
1366,3
1367,6
1368,3
1369,3
1370,5
1371,9
1372,3
1373,5
1374,5
1375,6
1376,1
1377,3
1378,3
1379,6
1380,3
1381,1
1382,5
1383,3
1384,3
1385,1
1386,3
1387,8
1388,3
1389,1
1390,3
1391,8
1392,6
1393,11
1394,6
1395,3
1396,3
1397,3
1398,5
1399,3
1400,27
1401,5
1402,3
1403,8
1404,3
1405,9
1406,3
1407,8
1408,5
1409,6
1410,6
1411,6
1412,3
1413,3
1414,1
1415,5
1416,3
1417,5
1418,5
1419,12
1420,3
1421,3
1422,6
1423,12
1424,3
1425,3
1426,6
1427,5
1428,4
1429,3
1430,6
1431,5
1432,1
1433,9
1434,10
1435,6
1436,6
1437,6
1438,6
1439,3
1440,4
1441,16
1442,5
1443,3
1444,21
1445,3
1446,3
1447,3
1448,3
1449,9
1450,3
1451,3
1452,3
1453,3
1454,3
1455,6
1456,3
1457,5
1458,9
1459,3
1460,9
1461,15
1462,9
1463,3
1464,3
1465,3
1466,5
1467,5
1468,8
1469,5
1470,3
1471,3
1472,21
1473,3
1474,3
1475,3
1476,1
1477,3
1478,8
1479,3
1480,12
1481,3
1482,5
1483,5
1484,3
1485,3
1486,9
1487,3
1488,3
1489,3
1490,3
1491,5
1492,3
1493,5
1494,1
1495,1
1496,3
1497,3
1498,10
1499,4
1500,3
1501,1
1502,3
1503,3
1504,3
1505,5
1506,10
1507,3
1508,3
1509,1
1510,3
1511,3
1512,3
1513,10
1514,5
1515,3
1516,3
1517,3
1518,3
1519,1
1520,5
1521,1
1522,3
1523,3
1524,9
1525,3
1526,5
1527,6
1528,3
1529,4
1530,3
1531,1
1532,5
1533,11
1534,5
1535,1
1536,6
1537,3
1538,6
1539,1
1540,18
1541,3
1542,3
1543,3
1544,19
1545,3
1546,1
1547,5
1548,3
1549,5
1550,12
1551,9
1552,3
1553,3
1554,1
1555,3
1556,3
1557,18
1558,5
1559,6
1560,8
1561,3
1562,5
1563,5
1564,3
1565,10
1566,3
1567,3
1568,1
1569,6
1570,3
1571,6
1572,6
1573,5
1574,5
1575,5
1576,16
1577,6
1578,3
1579,3
1580,3
1581,3
1582,3
1583,3
1584,12
1585,3
1586,5
1587,6
1588,12
1589,5
1590,6
1591,3
1592,6
1593,3
1594,6
1595,3
1596,3
1597,3
1598,3
1599,3
1600,1
1601,3
1602,3
1603,3
1604,11
1605,3
1606,3
1607,3
1608,3
1609,5
1610,3
1611,5
1612,6
1613,3
1614,3
1615,3
1616,6
1617,3
1618,3
1619,3
1620,3
1621,9
1622,3
1623,6
1624,8
1625,3
1626,5
1627,17
1628,5
1629,3
1630,3
1631,3
1632,3
1633,5
1634,3
1635,8
1636,6
1637,3
1638,14
1639,3
1640,5
1641,3
1642,3
1643,5
1644,15
1645,3
1646,6
1647,11
1648,3
1649,3
1650,3
1651,12
1652,3
1653,3
1654,3
1655,6
1656,3
1657,3
1658,5
1659,3
1660,3
1661,3
1662,5
1663,3
1664,3
1665,3
1666,3
1667,9
1668,3
1669,3
1670,5
1671,1
1672,5
1673,3
1674,3
1675,3
1676,3
1677,3
1678,3
1679,5
1680,1
1681,3
1682,3
1683,3
1684,3
1685,3
1686,3
1687,18
1688,1
1689,3
1690,1
1691,1
1692,3
1693,5
1694,5
1695,5
1696,6
1697,9
1698,3
1699,3
1700,3
1701,5
1702,6
1703,3
1704,3
1705,5
1706,6
1707,1
1708,3
1709,8
1710,3
1711,6
1712,3
1713,1
1714,11
1715,3
1716,15
1717,3
1718,5
1719,6
1720,3
1721,5
1722,1
1723,10
1724,3
1725,6
1726,3
1727,5
1728,3
1729,5
1730,3
1731,3
1732,13
1733,10
1734,3
1735,3
1736,3
1737,3
1738,6
1739,5
1740,3
1741,10
1742,12
1743,3
1744,5
1745,3
1746,3
1747,3
1748,3
1749,6
1750,3
1751,3
1752,5
1753,3
1754,3
1755,3
1756,5
1757,6
1758,3
1759,8
1760,3
1761,3
1762,5
1763,9
1764,8
1765,6
1766,6
1767,3
1768,5
1769,3
1770,3
1771,5
1772,3
1773,5
1774,1
1775,1
1776,6
1777,9
1778,3
1779,3
1780,3
1781,3
1782,14
1783,5
1784,3
1785,24
1786,4
1787,3
1788,3
1789,9
1790,3
1791,3
1792,3
1793,3
1794,6
1795,10
1796,3
1797,27
1798,3
1799,3
1800,3
1801,11
1802,16
1803,3
1804,5
1805,3
1806,6
1807,26
1808,3
1809,1
1810,3
1811,22
1812,5
1813,5
1814,11
1815,3
1816,9
1817,6
1818,11
1819,3
1820,5
1821,6
1822,5
1823,3
1824,12
1825,9
1826,12
1827,5
1828,3
1829,3
1830,12
1831,6
1832,3
1833,5
1834,19
1835,5
1836,3
1837,3
1838,3
1839,3
1840,3
1841,8
1842,3
1843,5
1844,5
1845,5
1846,3
1847,16
1848,1
1849,3
1850,3
1851,16
1852,3
1853,3
1854,5
1855,20
1856,6
1857,3
1858,3
1859,3
1860,3
1861,3
1862,3
1863,6
1864,3
1865,3
1866,3
1867,3
1868,5
1869,5
1870,5
1871,3
1872,7
1873,3
1874,3
1875,6
1876,3
1877,3
1878,9
1879,1
1880,5
1881,9
1882,3
1883,5
1884,3
1885,3
1886,5
1887,3
1888,5
1889,1
1890,3
1891,7
1892,8
1893,9
1894,10
1895,5
1896,3
1897,3
1898,3
1899,3
1900,8
1901,3
1902,3
1903,7
1904,12
1905,3
1906,11
1907,3
1908,6
1909,1
1910,13
1911,6
1912,3
1913,1
1914,3
1915,3
1916,5
1917,10
1918,3
1919,6
1920,4
1921,5
1922,3
1923,5
1924,3
1925,3
1926,3
1927,6
1928,3
1929,3
1930,3
1931,6
1932,3
1933,3
1934,3
1935,8
1936,3
1937,5
1938,8
1939,9
1940,3
1941,3
1942,5
1943,6
1944,5
1945,3
1946,5
1947,3
1948,3
1949,6
1950,3
1951,3
1952,3
1953,3
1954,3
1955,3
1956,3
1957,6
1958,3
1959,3
1960,6
1961,3
1962,3
1963,9
1964,3
1965,5
1966,5
1967,13
1968,8
1969,3
1970,3
1971,5
1972,5
1973,1
1974,6
1975,3
1976,3
1977,9
1978,10
1979,3
1980,3
1981,6
1982,15
1983,3
1984,3
1985,1
1986,6
1987,9
1988,6
1989,8
1990,3
1991,3
1992,5
1993,3
1994,6
1995,3
1996,3
1997,5
1998,3
1999,6
2000,3
2001,8
2002,13
2003,23
2004,3
2005,12
2006,5
2007,3
2008,3
2009,9
2010,6
2011,6
2012,6
2013,3
2014,5
2015,5
2016,6
2017,3
2018,5
2019,1
2020,3
2021,16
2022,5
2023,3
2024,12
2025,3
2026,3
2027,5
2028,3
2029,3
2030,3
2031,3
2032,3
2033,21
2034,6
2035,5
2036,8
2037,3
2038,3
2039,1
2040,12
2041,1
2042,3
2043,3
2044,3
2045,6
2046,5
2047,5
2048,5
2049,1
2050,4
2051,5
2052,3
2053,3
2054,12
2055,3
2056,6
2057,3
2058,3
2059,6
2060,3
2061,9
2062,5
2063,3
2064,13
2065,5
2066,5
2067,3
2068,7
2069,5
2070,3
2071,15
2072,12
2073,12
2074,6
2075,9
2076,7
2077,3
2078,6
2079,4
2080,5
2081,1
2082,9
2083,3
2084,3
2085,6
2086,3
2087,3
2088,3
2089,8
2090,3
2091,9
2092,9
2093,3
2094,5
2095,3
2096,8
2097,1
2098,3
2099,8
2100,5
2101,3
2102,3
2103,3
2104,3
2105,10
2106,3
2107,5
2108,3
2109,8
2110,6
2111,3
2112,3
2113,5
2114,3
2115,5
2116,5
2117,5
2118,6
2119,3
2120,3
2121,4
2122,1
2123,6
2124,3
2125,6
2126,5
2127,5
2128,3
2129,11
2130,3
2131,5
2132,3
2133,3
2134,3
2135,5
2136,3
2137,3
2138,6
2139,10
2140,3
2141,3
2142,7
2143,6
2144,9
2145,3
2146,3
2147,6
2148,3
2149,5
2150,5
2151,6
2152,3
2153,3
2154,3
2155,5
2156,8
2157,3
2158,3
2159,12
2160,6
2161,11
2162,4
2163,15
2164,3
2165,9
2166,5
2167,3
2168,9
2169,3
2170,6
2171,6
2172,3
2173,9
2174,5
2175,3
2176,3
2177,5
2178,3
2179,5
2180,3
2181,3
2182,3
2183,6
2184,3
2185,3
2186,3
2187,6
2188,3
2189,3
2190,5
2191,5
2192,14
2193,3
2194,3
2195,3
2196,5
2197,3
2198,5
2199,4
2200,16
2201,6
2202,3
2203,3
2204,3
2205,6
2206,5
2207,5
2208,3
2209,3
2210,3
2211,3
2212,3
2213,9
2214,5
2215,8
2216,3
2217,9
2218,3
2219,3
2220,3
2221,8
2222,5
2223,3
2224,1
2225,3
2226,5
2227,5
2228,1
2229,3
2230,15
2231,8
2232,3
2233,5
2234,15
2235,10
2236,3
2237,5
2238,3
2239,3
2240,3
2241,3
2242,3
2243,1
2244,3
2245,5
2246,8
2247,5
2248,3
2249,5
2250,3
2251,1
2252,3
2253,5
2254,3
2255,1
2256,1
2257,5
2258,3
2259,3
2260,3
2261,6
2262,5
2263,6
2264,6
2265,3
2266,1
2267,5
2268,3
2269,3
2270,6
2271,3
2272,3
2273,3
2274,5
2275,3
2276,5
2277,6
2278,3
2279,6
2280,3
2281,3
2282,5
2283,6
2284,5
2285,3
2286,3
2287,6
2288,3
2289,3
2290,1
2291,3
2292,12
2293,5
2294,3
2295,9
2296,3
2297,3
2298,3
2299,1
2300,6
2301,6
2302,5
2303,5
2304,3
2305,21
2306,6
2307,6
2308,3
2309,5
2310,3
2311,3
2312,5
2313,3
2314,3
2315,6
2316,11
2317,3
2318,5
2319,6
2320,1
2321,6
2322,20
2323,5
2324,5
2325,3
2326,3
2327,3
2328,10
2329,3
2330,15
2331,3
2332,3
2333,3
2334,3
2335,5
2336,6
2337,3
2338,3
2339,3
2340,5
2341,3
2342,3
2343,3
2344,3
2345,6
2346,7
2347,3
2348,3
2349,3
2350,6
2351,3
2352,3
2353,5
2354,3
2355,3
2356,6
2357,3
2358,6
2359,3
2360,7
2361,9
2362,3
2363,5
2364,5
2365,3
2366,3
2367,3
2368,3
2369,5
2370,3
2371,3
2372,4
2373,6
2374,5
2375,6
2376,3
2377,7
2378,18
2379,3
2380,1
2381,1
2382,3
2383,6
2384,5
2385,3
2386,3
2387,6
2388,3
2389,3
2390,5
2391,3
2392,9
2393,8
2394,3
2395,5
2396,3
2397,5
2398,3
2399,5
2400,3
2401,5
2402,5
2403,3
2404,3
2405,1
2406,5
2407,3
2408,5
2409,6
2410,3
2411,5
2412,4
2413,6
2414,5
2415,5
2416,6
2417,5
2418,3
2419,3
2420,3
2421,10
2422,3
2423,1
2424,3
2425,15
2426,5
2427,3
2428,8
2429,10
2430,1
2431,3
2432,5
2433,6
2434,14
2435,3
2436,3
2437,3
2438,1
2439,1
2440,3
2441,3
2442,3
2443,3
2444,3
2445,3
2446,5
2447,3
2448,5
2449,5
2450,3
2451,11
2452,6
2453,5
2454,1
2455,1
2456,3
2457,3
2458,3
2459,5
2460,3
2461,5
2462,5
2463,3
2464,18
2465,9
2466,3
2467,3
2468,5
2469,3
2470,3
2471,5
2472,3
2473,6
2474,6
2475,3
2476,1
2477,6
2478,5
2479,3
2480,4
2481,5
2482,8
2483,3
2484,5
2485,5
2486,4
2487,5
2488,3
2489,13
2490,3
2491,3
2492,5
2493,3
2494,3
2495,3
2496,6
2497,3
2498,5
2499,3
2500,3
2501,3
2502,10
2503,6
2504,1
2505,5
2506,9
2507,3
2508,9
2509,4
2510,6
2511,3
2512,5
2513,3
2514,6
2515,3
2516,12
2517,3
2518,6
2519,5
2520,3
2521,3
2522,5
2523,5
2524,6
2525,3
2526,5
2527,3
2528,3
2529,3
2530,3
2531,3
2532,3
2533,3
2534,3
2535,5
2536,3
2537,3
2538,3
2539,5
2540,1
2541,3
2542,3
2543,3
2544,3
2545,6
2546,5
2547,3
2548,5
2549,3
2550,6
2551,5
2552,3
2553,3
2554,6
2555,9
2556,5
2557,1
2558,3
2559,5
2560,9
2561,5
2562,6
2563,5
2564,1
2565,3
2566,5
2567,6
2568,6
2569,3
2570,3
2571,3
2572,9
2573,3
2574,5
2575,6
2576,9
2577,17
2578,3
2579,6
2580,3
2581,9
2582,4
2583,6
2584,5
2585,1
2586,3
2587,8
2588,1
2589,3
2590,6
2591,3
2592,3
2593,6
2594,3
2595,8
2596,5
2597,6
2598,7
2599,3
2600,9
2601,10
2602,6
2603,3
2604,3
2605,3
2606,3
2607,3
2608,8
2609,6
2610,3
2611,3
2612,8
2613,3
2614,3
2615,9
2616,10
2617,6
2618,3
2619,3
2620,3
2621,5
2622,3
2623,3
2624,5
2625,7
2626,3
2627,5
2628,3
2629,5
2630,3
2631,5
2632,6
2633,5
2634,6
2635,24
2636,13
2637,3
2638,5
2639,3
2640,3
2641,8
2642,3
2643,5
2644,3
2645,5
2646,10
2647,18
2648,5
2649,5
2650,3
2651,10
2652,5
2653,3
2654,17
2655,6
2656,3
2657,3
2658,5
2659,5
2660,3
2661,3
2662,5
2663,8
2664,5
2665,5
2666,3
2667,4
2668,3
2669,9
2670,4
2671,3
2672,5
2673,3
2674,3
2675,1
2676,3
2677,3
2678,3
2679,3
2680,10
2681,5
2682,3
2683,5
2684,3
2685,13
2686,5
2687,5
2688,5
2689,10
2690,13
2691,3
2692,3
2693,3
2694,3
2695,8
2696,8
2697,5
2698,1
2699,5
2700,3
2701,5
2702,3
2703,7
2704,5
2705,3
2706,3
2707,3
2708,3
2709,6
2710,3
2711,3
2712,5
2713,3
2714,3
2715,3
2716,3
2717,3
2718,5
2719,1
2720,3
2721,3
2722,5
2723,6
2724,3
2725,3
2726,6
2727,3
2728,3
2729,9
2730,3
2731,3
2732,3
2733,3
2734,5
2735,5
2736,5
2737,5
2738,3
2739,5
2740,3
2741,3
2742,3
2743,5
2744,3
2745,3
2746,5
2747,3
2748,5
2749,6
2750,6
2751,5
2752,12
2753,3
2754,8
2755,3
2756,16
2757,3
2758,3
2759,3
2760,9
2761,3
2762,8
2763,6
2764,5
2765,3
2766,5
2767,3
2768,6
2769,5
2770,3
2771,5
2772,5
2773,8
2774,3
2775,6
2776,3
2777,14
2778,3
2779,3
2780,3
2781,5
2782,9
2783,3
2784,19
2785,3
2786,3
2787,3
2788,6
2789,6
2790,3
2791,5
2792,13
2793,3
2794,3
2795,9
2796,5
2797,3
2798,5
2799,3
2800,3
2801,1
2802,3
2803,5
2804,5
2805,1
2806,1
2807,16
2808,3
2809,5
2810,8
2811,10
2812,3
2813,6
2814,4
2815,3
2816,5
2817,3
2818,1
2819,3
2820,3
2821,12
2822,1
2823,9
2824,6
2825,3
2826,3
2827,9
2828,3
2829,3
2830,15
2831,3
2832,16
2833,3
2834,3
2835,6
2836,3
2837,5
2838,7
2839,9
2840,10
2841,3
2842,3
2843,5
2844,5
2845,9
2846,1
2847,3
2848,15
2849,6
2850,3
2851,5
2852,3
2853,3
2854,6
2855,3
2856,3
2857,6
2858,3
2859,3
2860,5
2861,3
2862,6
2863,5
2864,5
2865,9
2866,5
2867,3
2868,6
2869,5
2870,10
2871,3
2872,5
2873,6
2874,3
2875,3
2876,4
2877,5
2878,3
2879,3
2880,12
2881,3
2882,5
2883,9
2884,6
2885,3
2886,7
2887,5
2888,15
2889,6
2890,9
2891,6
2892,5
2893,10
2894,3
2895,1
2896,5
2897,10
2898,6
2899,3
2900,10
2901,1
2902,3
2903,5
2904,3
2905,3
2906,6
2907,6
2908,3
2909,5
2910,3
2911,8
2912,3
2913,3
2914,9
2915,5
2916,1
2917,6
2918,3
2919,5
2920,5
2921,3
2922,6
2923,3
2924,3
2925,3
2926,9
2927,3
2928,6
2929,6
2930,9
2931,5
2932,3
2933,3
2934,6
2935,5
2936,1
2937,5
2938,3
2939,5
2940,3
2941,5
2942,3
2943,1
2944,3
2945,5
2946,3
2947,3
2948,3
2949,3
2950,2
2951,3
2952,3
2953,27
2954,6
2955,3
2956,5
2957,3
2958,3
2959,5
2960,5
2961,8
2962,5
2963,3
2964,3
2965,1
2966,5
2967,3
2968,3
2969,5
2970,3
2971,6
2972,3
2973,8
2974,3
2975,3
2976,3
2977,5
2978,9
2979,11
2980,8
2981,3
2982,3
2983,5
2984,3
2985,1
2986,4
2987,6
2988,3
2989,2
2990,6
2991,6
2992,3
2993,6
2994,6
2995,8
2996,5
